日付,競馬場,レース番号,馬券種別,枠番,倍率,購入金額,的中,払い戻し,収支(Total),収支(税務上),収支差
2025/06/14,函館,9R,ワイド,01-12,3.7,200,False,0,-¥200,¥0,-200
2025/06/14,函館,9R,ワイド,08-12,4.2,100,False,0,-¥100,¥0,-100
2025/06/14,函館,9R,馬連,01-12,7.4,100,False,0,-¥100,¥0,-100
2025/06/14,東京,10R,単勝,6,3.6,100,False,0,-¥100,¥0,-100
2025/06/14,東京,10R,ワイド,02–06,3.5,100,False,0,-¥100,¥0,-100
2025/06/14,東京,10R,ワイド,06–07,5.6,100,False,0,-¥100,¥0,-100
2025/06/14,東京,10R,ワイド,06–16,7.0,100,False,0,-¥100,¥0,-100
2025/06/14,東京,10R,ワイド,06–12,15.3,100,False,0,-¥100,¥0,-100
2025/06/14,函館,10R,ワイド,01–08,11.0,100,False,0,-¥100,¥0,-100
2025/06/14,函館,10R,ワイド,01–12,6.8,100,False,0,-¥100,¥0,-100
2025/06/14,函館,10R,ワイド,08–12,4.6,100,False,0,-¥100,¥0,-100
2025/06/14,函館,10R,単勝,12,2.4,200,False,0,-¥200,¥0,-200
2025/06/14,東京,11R,ワイド,06–09,4.3,100,False,0,-¥100,¥0,-100
2025/06/15,阪神,7R,ワイド,01–03,2.5,200,True,500,¥300,¥300,300
2025/06/15,阪神,7R,ワイド,03–05,1.7,400,True,680,¥280,¥280,280
2025/06/15,阪神,7R,ワイド,03–07,4.2,200,False,0,-¥200,¥0,-200
2025/06/15,阪神,7R,複勝,7,2.1,200,False,0,-¥200,¥0,-200
2025/06/15,阪神,7R,馬連,03–05,3.5,200,False,0,-¥200,¥0,-200
2025/06/15,東京,9R,単勝,6,2.6,300,False,0,-¥300,¥0,-300
2025/06/15,東京,9R,ワイド,02–06,2.5,100,True,250,¥150,¥150,150
2025/06/15,東京,9R,ワイド,06–09,2.4,200,True,480,¥280,¥280,280
2025/06/15,東京,9R,複勝,9,1.4,100,True,140,¥40,¥40,40
2025/06/15,東京,9R,馬連,06–09,4.8,100,False,0,-¥100,¥0,-100
2025/06/15,東京,11R,単勝,10,5.5,200,False,0,-¥200,¥0,-200
2025/06/15,東京,11R,複勝,14,3.2,100,True,320,¥220,¥220,220
2025/06/15,東京,11R,ワイド,01–10,10.1,100,False,0,-¥100,¥0,-100
2025/06/15,東京,11R,ワイド,10–11,3.8,300,False,0,-¥300,¥0,-300
2025/06/15,東京,11R,ワイド,10–14,6.8,200,False,0,-¥200,¥0,-200
2025/06/15,函館,12R,単勝,9,3.0,200,True,600,¥400,¥400,400
2025/06/15,函館,12R,複勝,7,1.7,100,False,0,-¥100,¥0,-100
2025/06/15,函館,12R,ワイド,01–09,3.9,300,False,0,-¥300,¥0,-300
